host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d
1,1,0,1.0,1,1,1,1,1,0,6.0,9.0,0,2.5,4,2.3,30.0,1125,30.0,1125.0,1,59,89,106,4.0,0
1,1,0,,1,0,0,1,1,0,1.0,2.0,0,1.0,1,2.3,2.0,90,2.0,90.0,1,33,33,269,25.0,1
0,0,0,1.0,1,1,0,1,1,1,1.0,2.0,0,1.0,1,1.0,1.0,1125,1.0,1125.0,0,27,57,147,15.6,1
1,1,1,1.0,1,1,1,1,1,0,9.0,13.0,1,1.0,3,3.0,2.0,1125,23.7,1125.0,1,39,46,46,45.0,2
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,2.0,2.0,28,2.0,1125.0,1,38,68,118,58.0,2
1,1,1,0.0,1,0,0,1,1,1,1.0,1.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,0,33,61,261,61.0,1
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,2.0,15,2.0,1125.0,1,47,74,338,50.0,5
0,0,0,,1,1,1,1,1,0,1.0,1.0,1,2.1,4,2.6,30.0,90,30.0,90.0,1,53,83,173,0.0,0
0,0,0,1.0,1,1,1,1,1,1,3.0,23.0,1,2.1,3,2.6,30.0,65,30.0,65.0,0,0,0,0,1.0,0
1,1,1,,1,1,1,1,1,0,7.0,10.0,1,2.0,3,3.0,1.0,360,2.2,1125.0,1,31,53,236,28.0,2
1,1,1,1.0,1,1,0,1,1,0,3.0,4.0,0,1.0,1,2.0,30.0,180,30.0,1125.0,1,60,90,270,1.0,0
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,1,1.0,1,3.0,1.0,150,1.0,150.0,1,32,45,228,12.0,1
1,0,1,,1,1,0,1,1,1,6.1,8.6,0,1.0,1,2.0,1.0,365,2.2,1125.0,1,49,79,354,2.0,0
1,1,1,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,2,3.0,30.0,365,30.0,365.0,0,0,0,131,18.0,1
1,1,1,1.0,1,0,0,1,1,1,3.0,3.0,1,1.0,3,4.0,2.0,1125,1.3,1125.0,1,56,59,97,33.0,4
1,1,1,1.0,1,1,0,1,1,0,9.0,13.0,0,1.0,0,1.0,2.0,1125,2.0,1125.0,1,45,45,45,15.6,5
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,1.0,1,1.0,1.0,1125,1.1,1040.7,1,24,24,24,13.0,1
1,1,1,1.0,1,1,0,1,1,0,2.0,2.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,1,45,75,309,39.0,2
1,1,1,1.0,1,0,0,1,1,1,3.0,3.0,0,1.0,1,2.0,2.0,1125,1.3,1125.0,1,57,87,362,29.0,0
1,1,1,1.0,1,1,0,1,1,1,3.0,4.0,0,2.5,2,2.0,45.0,365,43.9,365.0,1,40,70,101,0.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,0,2.0,2,2.0,1.0,1125,1.2,1004.4,1,27,27,39,19.0,0
1,1,1,1.0,1,1,0,1,1,0,4.0,4.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,1,40,70,324,25.0,2
1,1,1,1.0,1,1,0,1,1,1,3.0,3.0,0,1.0,1,1.0,1.0,28,1.4,1125.0,1,55,85,199,60.0,3
1,1,1,1.0,1,1,0,1,1,1,3.0,3.0,0,1.0,1,1.0,1.0,28,1.3,1125.0,1,46,76,159,57.0,2
1,1,1,1.0,1,1,0,1,1,0,1.0,3.0,0,1.0,0,1.0,2.0,14,2.0,14.0,0,25,46,216,15.6,1
